연도,상/하반기,재공급/신규공급,평수,주택명,주소지,자치구,지역등급,교통등급,모집규모밀도,당첨자순위,당첨자 가점,모집규모밀도_건수
2023,하,신규공급,29B,초행지붕 구산B동,"서울특별시 은평구 갈현로11가길 3 (초행지붕 구산B동, 구산동 550)",은평구,C,20분,0.000286822,2순위,7점,37
2023,하,신규공급,26B,초행지붕 구산B동,"서울특별시 은평구 갈현로11가길 3 (초행지붕 구산B동, 구산동 550)",은평구,C,20분,0.000286822,2순위,7점,37
2023,하,신규공급,29A,예그리나 10차,"서울특별시 은평구 진흥로3길 2 (예그리나 10차, 역촌동 41-55)",은평구,C,7분,0.000286822,1순위,7점,37
2023,하,재공급,-,명칭없음,"서울특별시 강남구 언주로136길 35 (동명칭 없음, 논현동 108-10)",강남구,A,4분,0.000184211,1순위,8점,28
2023,하,재공급,43A,대정이오스,"서울특별시 구로구 오리로13길 50 (오류동 240-7, 대정이오스)",구로구,C,9분,0.00106087,1순위,5점,122
2023,하,재공급,40C,휴먼에코빌4차 B동,서울특별시 금천구 독산로96길 27-6 휴먼에코빌4차 B동(독산동 234-22),금천구,C,22분,0.001,1순위,2점,78
2023,하,재공급,-,A단지,"서울특별시 금천구 독산로33길 34 (시흥동 849-33, A단지)",금천구,C,12분,0.001,2순위,4점,78
2023,하,재공급,-,아이빌 7차,"서울특별시 금천구 독산로20길 13, 아이빌 7차 (시흥동 833-13)",금천구,C,25분,0.001,1순위,5점,78
2023,하,재공급,-,씨앤제이빌,"서울특별시 도봉구 도당로9길 15-3 (방학동 665-29, 씨앤제이빌)",도봉구,B,21분,0.000166667,1순위,7점,13
2023,하,재공급,-,서초파크타운 A동,"서울특별시 서초구 반포대로5길 64, 서초파크타운 A동  (서초동 1478-9)",서초구,A,11분,0.000342105,1순위,7점,39
2023,하,재공급,28B,서초파크타운 B동,"서울특별시 서초구 반포대로5길 62, 서초파크타운 B동 (서초동 1478-16)",서초구,A,11분,0.000342105,1순위,4점,39
2023,하,재공급,-,양평에스하임2 가동,"서울특별시 영등포구 양평로28마길 24, 양평에스하임2 가동  (양평동6가 65)",영등포구,B,8분,0.000664,-,-,83
2023,하,재공급,27B,강동서영스윗홈5,"서울특별시 강동구 양재대로91길 84, 강동서영스윗홈5  (성내동 420-4)",강동구,C,6분,0.001442597,1순위,8점,144
2023,하,재공급,22B,강동서영스윗홈5,"서울특별시 강동구 양재대로91길 84, 강동서영스윗홈5  (성내동 420-4)",강동구,C,6분,0.001442597,2순위,7점,144
2023,하,재공급,32B,현도빌리지6,"서울특별시 강동구 아리수로64길 8 (현도빌리지6, 고덕동 627)",강동구,C,10분,0.001442597,2순위,5점,144
2023,하,재공급,43A,현도빌리지5,"서울특별시 강동구 아리수로66길 14 (현도빌리지5, 고덕동 532-1)",강동구,C,10분,0.001442597,1순위,3점,144
2023,하,재공급,-,성신하우스,"서울특별시 강북구 인수봉로38길 10, 성신하우스 (수유동 468-33)",강북구,C,5분,0.000848101,2순위,7점,67
2023,하,재공급,37A,구의에스하임1,"서울특별시 광진구 광나루로30나길 15 구의에스하임1 (구의동 638-5,6)",광진구,B,10분,0.000429825,-,-,49
2023,하,재공급,-,명칭없음,"서울특별시 구로구 개봉로17바길 39 (개봉동 318-6,23)",구로구,C,8분,0.00106087,1순위,3점,122
2023,하,재공급,22B,낙원가우디움,"서울특별시 구로구 고척로27마길 26-11, 낙원가우디움 (고척동 241-157)",구로구,C,25분,0.00106087,2순위,7점,122
2023,하,재공급,19B,하늘사랑채5차,"서울특별시 구로구 고척로27다길 39-11 (하늘사랑채5차, 고척동 241-112)",구로구,C,25분,0.00106087,2순위,5점,122
